101067229	None	0
5878278	0|5|2|4|6|9|9	451
5472699	0|4|3|5|6|8|9	101
4995151	0|6|1|4|5|9|9	661
3486528	0|5|1|5|6|9|8	427
2589476	0|4|6|4|4|15|3	203
2579926	1|4|10|4|0|14|3	1373
2526091	0|5|2|5|5|8|9	458
2504428	0|4|10|4|0|15|3	409
2199930	0|4|3|6|5|7|9	108
2089207	0|6|1|5|4|8|9	666
1814334	1|4|8|6|0|15|0	1351
1791289	0|5|1|4|5|12|8	417
1780562	0|4|10|4|0|7|11	401
1711522	0|4|5|6|3|15|1	169
1653756	0|4|2|6|6|8|8	72
1598212	0|4|2|4|6|12|8	54
1545316	1|4|9|5|0|14|2	1367
1510288	1|4|4|5|5|15|1	1026
1498704	0|4|10|4|0|9|9	403
1398995	0|5|1|6|5|8|8	434
1387184	0|4|9|4|1|15|3	387
1379481	0|4|9|5|0|15|2	398
1315294	0|4|6|4|4|10|8	198
1286537	1|5|1|5|6|7|9	1396
1283376	0|4|6|4|4|9|9	197
1283159	0|4|8|4|2|15|3	354
1242959	0|4|4|4|6|5|13	127
1203418	0|4|1|5|6|12|7	20
1183320	0|5|5|4|3|15|3	531
1173780	1|4|10|4|0|15|2	1374
1171772	1|4|9|4|1|14|3	1361
1170893	0|4|10|4|0|10|8	404
1167961	0|4|6|4|4|5|13	193
1160144	0|4|10|4|0|5|13	399
1125890	1|4|10|4|0|11|6	1372
1119286	0|5|8|4|0|15|3	651
1088102	1|4|9|5|0|15|1	1368
1073514	0|4|7|4|3|15|3	289
1061764	1|4|9|5|0|11|5	1366
1032626	0|4|3|7|4|6|9	112
1018620	1|4|7|7|0|14|0	1312
1009492	0|4|9|4|1|7|11	379
 999344	1|4|5|4|5|14|3	1078
 994131	0|4|7|4|3|5|13	279
 989864	0|4|10|4|0|14|4	408
 988042	0|5|2|6|4|7|9	463
 984908	0|4|3|4|5|11|9	92
 967572	1|4|2|6|6|6|9	956
 954708	0|4|1|7|6|8|7	38
 946948	0|4|8|4|2|9|9	348
 939576	0|4|8|4|2|7|11	346
 934548	0|4|8|4|2|5|13	344
 930931	0|4|9|4|1|5|13	377
 920854	0|4|6|4|4|7|11	195
 899310	0|4|7|7|0|15|0	333
 894006	0|4|6|4|4|8|10	196
 882731	0|4|9|5|0|6|11	389
 876984	0|4|7|4|3|9|9	283
 871556	0|4|6|4|4|12|6	200
 847230	0|4|5|7|2|15|0	172
 845080	0|4|8|5|1|15|2	365
 840744	1|4|8|6|0|14|1	1350
 831886	0|4|7|4|3|7|11	281
 830697	0|4|9|5|0|12|5	395
 823616	0|4|7|4|3|10|8	284
 819608	0|4|9|4|1|9|9	381
 817740	0|6|1|6|3|7|9	669
 815144	0|4|10|4|0|8|10	402
 803142	0|4|6|5|3|14|3	224
 765700	0|4|9|5|0|14|3	397
 764252	0|5|8|4|0|7|11	643
 764112	0|4|8|6|0|15|1	376
 757301	0|7|1|4|3|8|10	794
 752796	0|4|7|5|2|15|2	311
 738624	1|4|10|4|0|6|11	1370
 729472	1|4|4|6|4|14|1	1031
 713920	1|4|8|5|1|14|2	1344
 713081	1|4|4|6|4|15|0	1032
 705920	0|5|4|6|2|15|1	506
 691776	0|4|5|4|5|5|13	157
 684056	0|4|6|4|4|14|4	202
 682582	0|4|10|4|0|12|6	406
 652115	0|4|2|7|5|7|8	79
 651588	0|4|9|5|0|8|9	391
 651513	0|4|10|4|0|6|12	400
 649848	0|4|6|5|3|12|5	222
 644758	1|4|6|4|4|15|2	1194
 641754	0|5|7|5|0|15|2	640
 640840	0|4|9|4|1|14|4	386
 640618	0|6|1|4|3|11|9	659
 638388	0|4|8|4|2|10|8	349
 635151	1|4|1|4|4|14|8	890
 632124	0|4|9|4|1|10|8	382
 629868	0|5|2|4|4|11|9	449
 628886	0|5|7|4|1|15|3	629
 622908	1|4|9|4|1|6|11	1353
 590632	0|4|6|4|4|13|5	201
 574376	1|4|9|4|1|13|4	1360
 567284	0|5|8|4|0|9|9	645
 560712	1|4|5|4|5|9|8	1073
 550624	0|5|5|4|3|10|8	526
 549376	1|4|10|6|5|8|0	1376
 547464	0|5|1|7|4|7|8	439
 547455	0|4|10|4|0|13|5	407
 545816	1|4|5|4|5|8|9	1072
 540728	0|5|5|4|3|9|9	525
 531797	1|5|1|6|5|6|9	1402
 530424	0|4|2|8|4|6|8	83
 530380	0|4|3|8|3|5|9	114
 522395	0|5|8|4|0|5|13	641
 519636	0|4|6|5|3|6|11	216
 513752	0|4|8|4|2|14|4	353
 511981	0|5|8|4|0|13|5	649
 499008	0|4|1|8|5|7|7	45
 498275	0|4|7|4|3|6|12	280
 496518	0|6|4|4|2|15|3	722
 495680	0|4|6|5|3|8|9	218
 493791	1|4|7|4|3|15|2	1274
 493630	0|5|3|4|5|5|13	477
 487956	0|6|6|4|0|15|3	777
 481707	0|4|8|5|1|6|11	356
 480888	0|4|7|5|2|12|5	308
 479802	0|5|8|4|0|10|8	646
 475248	1|4|7|4|3|14|3	1273
 473312	0|4|7|6|1|15|1	322
 461538	1|4|2|7|5|5|9	962
 459144	0|5|6|4|2|15|3	596
 458378	0|4|6|7|1|15|0	258
 457720	0|4|9|4|1|6|12	378
 457528	0|5|2|7|3|6|9	465
 452684	0|4|7|5|2|6|11	302
 450500	0|4|8|5|1|12|5	362
 446820	0|5|5|4|3|5|13	521
 442040	0|4|8|4|2|8|10	347
 438962	0|5|1|5|4|11|8	425
 434908	0|4|9|4|1|8|10	380
 432768	0|4|8|5|1|14|3	364
 430380	1|4|8|4|2|6|11	1325
 429952	0|4|5|7|2|14|1	171
 428972	0|5|8|4|0|14|4	650
 426432	0|4|9|5|0|9|8	392
 425537	1|4|9|4|1|9|8	1356
 423026	0|5|6|4|2|5|13	586
 417054	0|4|8|6|0|14|2	375
 414468	1|4|8|4|2|14|3	1333
 409656	1|4|6|4|4|14|3	1193
 408156	1|4|8|5|1|11|5	1341
 408083	1|4|1|4|3|15|8	888
 407834	0|5|7|5|0|6|11	631
 407334	0|4|8|4|2|6|12	345
 406284	0|4|3|5|4|10|9	100
 404610	0|4|7|4|3|14|4	288
 404352	1|4|7|4|3|8|9	1267
 400539	0|5|7|4|1|7|11	621
 391072	0|6|6|4|0|7|11	769
 390096	0|4|6|5|3|10|7	220
 389976	1|5|8|4|0|14|3	1700
 389296	1|4|6|7|1|14|0	1248
 388904	1|4|6|4|4|8|9	1187
 386180	0|5|5|4|3|8|10	524
 384260	0|4|8|5|1|8|9	358
 383406	1|4|7|4|3|6|11	1265
 382974	1|6|1|4|5|7|10	1726
 382680	1|4|5|4|5|6|11	1070
 382096	1|4|7|6|1|14|1	1306
 381939	0|5|7|4|1|5|13	619
 381508	0|5|7|4|1|9|9	623
 379248	0|5|5|4|3|12|6	528
 377181	0|5|5|4|3|7|11	523
 375076	0|4|7|4|3|13|5	287
 374796	0|4|9|4|1|13|5	385
 374654	0|4|9|5|0|7|10	390
 374598	0|5|7|5|0|12|5	637
 372888	0|6|1|7|2|6|9	671
 372032	0|5|6|5|1|15|2	607
 369920	1|4|8|5|1|13|3	1343
 369712	0|5|4|7|1|15|0	508
 369636	1|4|5|4|5|7|10	1071
 369204	1|4|5|4|5|11|6	1075
 369160	1|4|6|4|4|9|8	1188
 368738	0|4|7|5|2|14|3	310
 366456	0|4|6|5|3|7|10	217
 363296	1|4|4|7|3|14|0	1036
 362908	0|5|5|7|0|15|0	575
 362020	0|4|7|5|2|8|9	304
 362019	1|4|6|6|2|15|0	1238
 357832	0|5|6|4|2|7|11	588
 354710	0|4|7|4|3|8|10	282
 354048	0|5|8|4|0|8|10	644
 353387	1|4|5|6|3|15|0	1133
 352276	0|5|8|4|0|12|6	648
 350400	1|4|6|5|3|15|1	1216
 350160	1|4|9|4|1|8|9	1355
 349184	0|5|5|5|2|14|3	552
 345121	1|4|8|5|1|5|11	1335
 344960	0|5|6|6|0|15|1	618
 344905	1|4|9|5|0|5|11	1363
 344768	1|4|5|5|4|13|3	1109
 343686	1|4|10|6|6|7|0	1377
 343318	0|4|10|4|0|11|7	405
 343032	1|4|8|4|2|8|9	1327
 341024	0|4|6|5|3|9|8	219
 338704	0|5|6|4|2|10|8	591
 337484	0|5|7|5|0|14|3	639
 336677	1|4|1|7|6|6|8	921
 336414	1|4|6|4|4|6|11	1185
 333108	0|4|8|4|2|13|5	352
 330808	0|5|7|4|1|10|8	624
 328676	0|5|6|4|2|9|9	590
 328438	0|4|7|4|3|12|6	286
 327420	0|4|9|4|1|12|6	384
