4473577	None	0
1068638	0|7|2|6|0|15|1	808
 796920	0|6|1|4|5|9|9	661
 737307	1|6|9|5|5|6|1	1943
 724214	0|4|3|7|4|6|9	112
 588616	0|4|2|8|4|6|8	83
 588610	1|6|8|6|5|6|0	1937
 568177	0|4|2|7|5|7|8	79
 562625	0|6|1|6|3|7|9	669
 536386	0|6|1|5|4|8|9	666
 457010	0|5|1|5|6|9|8	427
 444220	0|4|2|6|6|8|8	72
 409451	0|4|3|5|6|8|9	101
 397521	0|5|1|6|5|8|8	434
 380646	0|4|3|6|5|7|9	108
 343044	0|4|6|7|1|7|8	250
 317741	0|5|1|7|4|7|8	439
 316427	0|7|1|4|3|8|10	794
 249638	0|5|2|6|4|7|9	463
 237877	0|6|1|7|2|6|9	671
 232713	0|7|4|4|0|9|9	836
 217603	0|5|1|4|5|12|8	417
 216631	0|4|6|7|1|15|0	258
 202188	0|5|2|4|6|9|9	451
 174994	0|7|1|5|2|7|10	798
 167757	0|5|2|5|5|8|9	458
 159906	0|4|1|8|5|7|7	45
 135970	0|4|3|8|3|5|9	114
 134810	0|5|8|4|0|7|11	643
 133873	0|6|6|4|0|8|10	770
 133435	1|6|10|4|5|6|2	1946
 131129	0|4|1|7|6|8|7	38
 128575	0|5|4|6|2|15|1	506
 119034	0|8|2|4|0|10|8	878
 119034	0|7|3|5|0|9|8	824
 115964	0|6|5|5|0|8|9	759
 112560	0|4|5|6|3|15|1	169
 108245	0|5|4|7|1|14|1	507
 103993	0|5|1|8|3|6|8	441
 101794	1|4|8|6|0|15|0	1351
 101280	0|4|5|7|2|14|1	171
  99663	0|4|10|4|0|7|11	401
  98872	0|5|7|5|0|7|10	632
  97070	0|6|4|6|0|8|8	737
  95884	1|4|4|5|5|15|1	1026
  93995	0|4|6|4|4|15|3	203
  93888	0|4|10|4|0|9|9	403
  93852	0|6|1|7|0|8|9	670
  89456	0|5|5|7|0|7|8	567
  85054	0|4|2|7|0|12|8	74
  84176	0|6|3|7|0|15|0	701
