6746043	None	0
2458210	0|6|1|4|5|9|9	661
1559129	0|4|3|7|4|6|9	112
1532487	0|6|1|6|3|7|9	669
1414079	0|6|1|5|4|8|9	666
1357312	0|5|1|5|6|9|8	427
1238216	0|4|2|8|4|6|8	83
1191199	0|7|2|6|0|15|1	808
1174629	0|4|2|7|5|7|8	79
1094757	1|6|8|6|5|6|0	1937
1022143	0|5|1|6|5|8|8	434
 986568	0|7|1|4|3|8|10	794
 953064	1|6|9|5|5|6|1	1943
 936691	0|5|1|7|4|7|8	439
 874216	0|4|3|6|5|7|9	108
 776660	0|7|4|4|0|9|9	836
 602559	0|5|8|4|0|7|11	643
 578766	0|4|3|5|6|8|9	101
 562075	0|5|2|6|4|7|9	463
 491480	0|4|2|6|6|8|8	72
 467310	0|7|1|5|2|7|10	798
 401038	0|5|1|4|5|12|8	417
 375093	0|6|5|5|0|8|9	759
 371104	0|4|1|8|5|7|7	45
 328472	0|8|2|4|0|10|8	878
 328472	0|7|3|5|0|9|8	824
 326749	0|4|6|7|1|15|0	258
 278298	0|5|2|5|5|8|9	458
 270548	0|6|6|4|0|8|10	770
 263242	0|4|10|4|0|7|11	401
 261898	0|5|6|6|0|7|9	610
 255549	0|6|1|7|2|6|9	671
 238722	0|5|2|4|6|9|9	451
 237626	0|4|1|7|6|8|7	38
 228403	0|5|8|4|0|5|13	641
 226852	0|6|6|4|0|9|9	771
 224247	0|6|1|7|0|8|9	670
 203980	1|4|8|6|0|15|0	1351
 201449	0|4|6|7|1|7|8	250
 199638	1|4|4|5|5|15|1	1026
 196904	1|4|4|6|4|15|0	1032
 184098	0|8|2|4|0|7|11	875
 172793	0|6|4|6|0|8|8	737
 171684	0|5|1|8|3|6|8	441
 171313	0|8|1|4|1|7|11	871
 170442	0|8|2|4|0|5|13	873
 163856	1|6|10|4|5|6|2	1946
 162618	0|6|6|4|0|7|11	769
 161330	0|6|3|7|0|15|0	701
 159882	1|4|9|4|1|6|11	1353
 159563	0|4|3|8|3|5|9	114
 155734	0|5|1|6|0|13|8	429
 155728	0|4|2|7|0|12|8	74
 154800	0|5|7|5|0|7|10	632
 150155	0|4|8|5|1|6|11	356
 148156	0|5|5|7|0|7|8	567
 144673	0|5|1|6|3|10|8	433
 143166	0|5|2|7|3|6|9	465
 140152	0|5|4|6|2|15|1	506
 137869	0|5|1|5|4|11|8	425
 136504	0|4|10|4|0|9|9	403
 131392	0|4|6|5|3|6|11	216
 130351	0|8|2|4|0|9|9	877
 127409	0|4|9|5|0|6|11	389
 126734	0|7|3|4|1|10|8	814
 124971	0|4|5|7|2|14|1	171
 112031	0|4|9|4|1|7|11	379
 110891	0|4|6|4|4|5|13	193
 105288	0|6|6|4|0|15|3	777
 104608	0|7|4|4|0|7|11	834
 103092	0|6|3|7|0|14|1	700
  98710	0|8|2|4|0|15|3	883
  95542	0|5|4|7|1|14|1	507
  95464	0|4|7|4|3|7|11	281
  94418	0|7|4|4|0|8|10	835
  91978	0|6|3|6|1|15|1	699
  90916	0|4|5|6|3|15|1	169
  90160	0|7|4|4|0|5|13	832
  90017	1|5|1|5|6|7|9	1396
  87200	1|5|8|4|0|6|11	1692
  86247	0|4|6|4|4|7|11	195
  85686	1|4|9|4|1|8|9	1355
  84545	0|4|10|4|0|5|13	399
  83168	1|4|10|4|0|14|3	1373
  82691	0|4|4|4|6|5|13	127
  82563	0|7|3|5|0|8|9	823
  82130	0|6|6|4|0|5|13	767
  81182	0|4|8|4|2|7|11	346
  81163	1|4|7|7|0|14|0	1312
  80165	0|4|7|4|3|5|13	279
  77296	0|7|3|4|1|9|9	813
  77007	0|5|1|8|1|8|8	440
  75903	0|4|6|4|4|15|3	203
  75184	0|6|1|5|2|10|9	665
  75154	1|4|5|6|3|15|0	1133
  75010	0|5|7|5|0|8|9	633
  73864	1|4|2|6|6|6|9	956
  73442	0|5|8|4|0|15|3	651
  71865	0|7|3|4|1|5|13	809
  71208	1|5|1|7|4|5|9	1406
  68518	0|4|10|4|0|15|3	409
  67948	1|5|1|6|5|6|9	1402
  66593	0|7|3|4|1|7|11	811
  66521	0|8|2|4|0|12|6	880
  66352	0|4|7|4|3|9|9	283
  65985	0|4|6|4|4|9|9	197
  65800	0|6|5|4|1|9|9	749
